libcell_name,func_id,libcell_area,worst_input_cap,libcell_leakage,fo4_delay,fix_load_delay
AO32x2_ASAP7_75t_SRAM,14,131220,4.741820140649622e-16,3.992349853487731e-11,4.584927576489761e-11,4.787499910396953e-11
AO331x1_ASAP7_75t_SRAM,15,145800,5.64213993061569e-16,4.623420049587601e-11,5.139398975839704e-11,5.3754986573117947e-11
AO331x2_ASAP7_75t_SRAM,15,160380,5.63702014584513e-16,5.6143600185576403e-11,5.442167549940535e-11,5.6066921938491276e-11
AO332x1_ASAP7_75t_SRAM,16,160380,5.50997949743797e-16,4.5460499947802546e-11,5.5303581159016346e-11,5.7787209045701005e-11
AO332x2_ASAP7_75t_SRAM,16,174960,5.509260578223988e-16,5.536989963750294e-11,5.8104618338994385e-11,5.98292318465532e-11
AO333x1_ASAP7_75t_SRAM,17,174960,5.481410134918266e-16,4.551060223123571e-11,6.113078099279079e-11,6.359484466811338e-11
AO333x2_ASAP7_75t_SRAM,17,189540,5.474769926007384e-16,5.541999845148915e-11,6.405617009042075e-11,6.578480121754993e-11
AO33x2_ASAP7_75t_SRAM,18,145800,4.913690007790216e-16,4.4900697743210927e-11,5.1240560405840796e-11,5.35790856126539e-11
AOI211x1_ASAP7_75t_SRAM,19,174960,9.102810033048974e-16,0.0,3.649784641179821e-11,3.191212571973523e-11
AOI211xp5_ASAP7_75t_SRAM,19,87480,4.867819997322843e-16,0.0,3.851335569904357e-11,4.811660098136272e-11
AOI21x1_ASAP7_75t_SRAM,20,116640,1.071059926913262e-15,0.0,2.6395264446366085e-11,1.8817569030771253e-11
AOI21xp33_ASAP7_75t_SRAM,20,72900,4.1556701647760936e-16,0.0,2.9350383234927335e-11,4.349052715180157e-11
AOI21xp5_ASAP7_75t_SRAM,20,72900,5.156009722736318e-16,0.0,2.536315775458764e-11,3.045989155348039e-11
AOI221x1_ASAP7_75t_SRAM,21,204120,8.271800302178764e-16,0.0,3.995442865445398e-11,3.331373024662021e-11
AOI221xp5_ASAP7_75t_SRAM,22,102060,4.842269777864509e-16,0.0,3.7553585241489884e-11,4.834021377631004e-11
AOI222xp33_ASAP7_75t_SRAM,23,145800,4.853900069625903e-16,0.0,4.374369269588563e-11,5.141231884664421e-11
AOI22x1_ASAP7_75t_SRAM,24,145800,1.126279910568901e-15,0.0,2.8057651688118135e-11,2.1026770602450284e-11
AOI22xp33_ASAP7_75t_SRAM,24,87480,3.9698700467245146e-16,0.0,2.846957392055316e-11,4.448171692095215e-11
AOI22xp5_ASAP7_75t_SRAM,24,87480,5.434949848365776e-16,0.0,2.6540020181542445e-11,3.230348974425645e-11
AOI311xp33_ASAP7_75t_SRAM,25,102060,5.157229979575956e-16,0.0,4.3009613232003474e-11,4.944987821997593e-11
AOI31xp33_ASAP7_75t_SRAM,26,87480,4.606519862215548e-16,0.0,3.70970268392945e-11,4.650742638223626e-11
AOI31xp67_ASAP7_75t_SRAM,26,189540,1.0433499851976663e-15,0.0,3.3719017161759623e-11,2.3347813266072492e-11
AOI321xp33_ASAP7_75t_SRAM,27,116640,5.033630402517017e-16,0.0,4.4795684522869195e-11,5.196664626394565e-11
AOI322xp5_ASAP7_75t_SRAM,28,131220,5.074719970788323e-16,0.0,4.764468333751104e-11,5.448352533021783e-11
AOI32xp33_ASAP7_75t_SRAM,29,102060,4.589129746412825e-16,0.0,4.000804895709642e-11,4.949521695274406e-11
AOI331xp33_ASAP7_75t_SRAM,30,131220,5.642629621538321e-16,0.0,4.862031957597601e-11,5.556351212465671e-11
AOI332xp33_ASAP7_75t_SRAM,31,145800,5.494390385439346e-16,0.0,5.15174292115006e-11,5.871320096773047e-11
AOI333xp33_ASAP7_75t_SRAM,32,160380,5.493180187115957e-16,0.0,5.884296522262744e-11,6.289568171835569e-11
AOI33xp33_ASAP7_75t_SRAM,33,116640,4.67409985651664e-16,0.0,3.959328351288427e-11,5.250274173751457e-11
BUFx10_ASAP7_75t_SRAM,34,204120,1.1283600117291208e-15,1.2048399777864205e-10,2.4596293751733e-11,2.326347968428788e-11
BUFx12_ASAP7_75t_SRAM,34,233280,1.1254300188854498e-15,1.403020061241378e-10,2.7343401848289872e-11,2.6145400081056813e-11
BUFx12f_ASAP7_75t_SRAM,34,262440,2.1829999932016213e-15,1.6169299232871026e-10,1.984526779019724e-11,1.670824242849811e-11
BUFx16f_ASAP7_75t_SRAM,34,320760,2.185729980390622e-15,2.013299943426361e-10,2.2867339966037292e-11,2.056728398702745e-11
BUFx24_ASAP7_75t_SRAM,34,437400,2.191090216639084e-15,2.8060501144899774e-10,2.9049230035327334e-11,2.7352980991324216e-11
BUFx2_ASAP7_75t_SRAM,34,72900,5.079389769305654e-16,3.0741399009714954e-11,2.311911599661709e-11,2.4314309246542543e-11
BUFx3_ASAP7_75t_SRAM,34,87480,5.902429978933384e-16,4.6109699392005155e-11,2.1024520666101942e-11,2.126038234351313e-11
BUFx4_ASAP7_75t_SRAM,34,102060,5.128980371993841e-16,5.0560101244601086e-11,3.042251173202004e-11,3.1079215589979725e-11
BUFx4f_ASAP7_75t_SRAM,34,116640,9.514439458052594e-16,5.39007970201677e-11,2.1391752952348853e-11,1.963620585576642e-11
BUFx5_ASAP7_75t_SRAM,34,116640,5.896740035110204e-16,6.592839468799738e-11,2.579022065352099e-11,2.594138792666456e-11
BUFx6f_ASAP7_75t_SRAM,34,145800,1.1222800092337295e-15,8.084639901984048e-11,1.954921988178704e-11,1.7584671566095444e-11
BUFx8_ASAP7_75t_SRAM,34,174960,7.990199963699336e-16,9.353830210390157e-11,2.743022475826251e-11,2.686450714661781e-11
CKINVDCx10_ASAP7_75t_SRAM,35,349920,5.6457702079485035e-15,0.0,1.4098977194065831e-11,4.0268730190640145e-12
CKINVDCx11_ASAP7_75t_SRAM,35,379080,6.40389010672952e-15,0.0,1.4655988228584604e-11,4.081739286843078e-12
CKINVDCx12_ASAP7_75t_SRAM,35,379080,6.749370281959079e-15,0.0,1.4247719323789987e-11,3.963801075562712e-12
CKINVDCx14_ASAP7_75t_SRAM,35,408240,7.836909764256765e-15,0.0,1.4807622142343213e-11,4.263873976118049e-12
CKINVDCx16_ASAP7_75t_SRAM,35,437400,8.911430350155153e-15,0.0,1.4511884749435211e-11,3.969270658682467e-12
CKINVDCx20_ASAP7_75t_SRAM,35,554040,1.1134800357139388e-14,0.0,1.6059278906688235e-11,4.403078162490415e-12
CKINVDCx5p33_ASAP7_75t_SRAM,35,320760,3.4910901260636193e-15,0.0,1.531356638717618e-11,4.896306016882734e-12
CKINVDCx6p67_ASAP7_75t_SRAM,35,349920,4.249009913310847e-15,0.0,1.5367495470597348e-11,4.6038463839825905e-12
CKINVDCx8_ASAP7_75t_SRAM,35,320760,4.572410057187854e-15,0.0,1.3790395908541697e-11,4.037880273199956e-12
CKINVDCx9p33_ASAP7_75t_SRAM,35,408240,5.806889850559901e-15,0.0,1.562899636098347e-11,4.472440646996478e-12
DECAPx10_ASAP7_75t_SRAM,36,320760,NaN,NaN,NaN,NaN
DECAPx1_ASAP7_75t_SRAM,37,58320,NaN,NaN,NaN,NaN
DECAPx2_ASAP7_75t_SRAM,38,87480,NaN,NaN,NaN,NaN
DECAPx2b_ASAP7_75t_SRAM,39,87480,NaN,NaN,NaN,NaN
DECAPx4_ASAP7_75t_SRAM,40,145800,NaN,NaN,NaN,NaN
DECAPx6_ASAP7_75t_SRAM,41,204120,NaN,NaN,NaN,NaN
DFFASRHQNx1_ASAP7_75t_SRAM,42,379080,1.0219999903665297e-15,6.947049879801881e-11,7.837621524009464e-11,8.428359399292873e-11
DFFHQNx1_ASAP7_75t_SRAM,43,291600,5.11389947976357e-16,5.919530143838614e-11,6.73047589883069e-11,7.229990911516992e-11
DFFHQNx2_ASAP7_75t_SRAM,43,306180,5.116170057457804e-16,6.910470112808653e-11,7.664759799075327e-11,8.031630915894539e-11
DFFHQNx3_ASAP7_75t_SRAM,43,320760,5.113480198454679e-16,7.901419796230158e-11,8.920471999962487e-11,9.228959263474223e-11
DFFHQx4_ASAP7_75t_SRAM,44,364500,5.113529961640331e-16,1.0341300038518852e-10,8.912740684374754e-11,9.041671578113863e-11
DFFLQNx1_ASAP7_75t_SRAM,45,291600,5.107480558210159e-16,5.242349956913195e-11,7.758539644076023e-11,8.242781457390436e-11
DFFLQNx2_ASAP7_75t_SRAM,45,306180,5.108130126601584e-16,6.23329027282793e-11,8.378470139902561e-11,8.735830114847687e-11
DFFLQNx3_ASAP7_75t_SRAM,45,320760,5.107250271127624e-16,7.224239956249434e-11,9.460746769329731e-11,9.76364475380187e-11
DFFLQx4_ASAP7_75t_SRAM,46,364500,5.108369942804776e-16,1.0135899758401123e-10,9.635045539191367e-11,9.731662697909371e-11
DHLx1_ASAP7_75t_SRAM,47,218700,5.131910047200157e-16,4.484349697131407e-11,4.971940914533235e-11,5.328877963894918e-11
DHLx2_ASAP7_75t_SRAM,47,233280,5.134199683135704e-16,5.475299727497607e-11,4.9041482680367565e-11,5.1274089141184476e-11
DHLx3_ASAP7_75t_SRAM,47,247860,5.13290001695726e-16,6.466249757863807e-11,5.197829666681031e-11,5.3778339420551546e-11
DLLx1_ASAP7_75t_SRAM,48,218700,5.194389844367594e-16,4.5062800713147055e-11,5.828544591413021e-11,6.164337790215413e-11
DLLx2_ASAP7_75t_SRAM,48,233280,5.194720187217023e-16,5.497209978888584e-11,5.956665716233545e-11,6.17854101214732e-11
DLLx3_ASAP7_75t_SRAM,48,247860,5.177109842848015e-16,6.488150294803319e-11,6.283748521518362e-11,6.469900309946652e-11
FAx1_ASAP7_75t_SRAM,49,204120,1.8523001193851765e-15,0.0,1.1463523880150817e-10,6.011294240160225e-11
FILLER_ASAP7_75t_SRAM,50,29160,NaN,NaN,NaN,NaN
FILLERxp5_ASAP7_75t_SRAM,51,14580,NaN,NaN,NaN,NaN
HAxp5_ASAP7_75t_SRAM,52,131220,9.11970939913788e-16,0.0,5.6623882666029246e-11,4.46746667437381e-11
HB1xp67_ASAP7_75t_SRAM,34,58320,3.0356300282922597e-16,1.2071700410121178e-11,2.5655247024025662e-11,3.408158130713268e-11
HB2xp67_ASAP7_75t_SRAM,34,72900,4.510989898237432e-16,1.1814000298870919e-11,4.7502758671047474e-11,5.2404653533288936e-11
HB3xp67_ASAP7_75t_SRAM,34,87480,5.625429558753139e-16,1.1830899974973885e-11,7.073081703667938e-11,7.271041407852508e-11
HB4xp67_ASAP7_75t_SRAM,34,102060,6.689910157248603e-16,1.189009914831507e-11,9.608312756537174e-11,9.47553910335408e-11
ICGx1_ASAP7_75t_SRAM,53,262440,2.062370007776637e-15,9.108129528367925e-11,1.8666089507402006e-11,2.2874428046160133e-11
ICGx2_ASAP7_75t_SRAM,53,277020,2.0573100447079766e-15,1.0099100028471142e-10,1.6850720471750513e-11,1.9237016493645065e-11
ICGx2p67DC_ASAP7_75t_SRAM,53,699840,5.5618800648524376e-15,2.1116099147011624e-10,5.1600609202173686e-11,1.6373237834987897e-11
ICGx3_ASAP7_75t_SRAM,53,291600,2.0546601021324915e-15,1.1090000445745929e-10,1.8217495220684832e-11,1.9876255155648614e-11
ICGx4DC_ASAP7_75t_SRAM,53,699840,5.560550223125248e-15,2.2436699720351783e-10,3.907723450380374e-11,1.5058409380541704e-11
ICGx4_ASAP7_75t_SRAM,53,306180,2.0537300599564063e-15,1.2080900169131326e-10,1.9610134696645964e-11,2.1070301753356446e-11
ICGx5_ASAP7_75t_SRAM,53,320760,2.0553199407984026e-15,1.3071899118699548e-10,2.161989164084499e-11,2.288801613514746e-11
ICGx5p33DC_ASAP7_75t_SRAM,53,699840,5.562429789235206e-15,2.375729890591316e-10,3.268438644732363e-11,1.4288351751767792e-11
ICGx6p67DC_ASAP7_75t_SRAM,53,699840,5.561119852782277e-15,2.50779008670321e-10,2.939955223713042e-11,1.4191666071472486e-11
ICGx8DC_ASAP7_75t_SRAM,53,699840,5.565010275109016e-15,2.6398497277035915e-10,2.7321575557515132e-11,1.4253747487869006e-11
INVx11_ASAP7_75t_SRAM,35,189540,5.888689939858617e-15,0.0,1.3316172817190441e-11,3.904154777245594e-12
INVx13_ASAP7_75t_SRAM,35,218700,6.949600400360523e-15,0.0,1.3712409679955684e-11,3.917835673938885e-12
INVx1_ASAP7_75t_SRAM,35,43740,5.799310070352278e-16,0.0,1.3891177270963784e-11,1.4654064420249746e-11
INVx2_ASAP7_75t_SRAM,35,58320,1.112400111057837e-15,0.0,1.28795342446697e-11,8.184069741346e-12
INVx3_ASAP7_75t_SRAM,35,72900,1.6492600750603347e-15,0.0,1.2903541082853742e-11,6.3317753817848654e-12
INVx4_ASAP7_75t_SRAM,35,87480,2.1762199179753243e-15,0.0,1.2663327851603068e-11,5.277407851000948e-12
INVx5_ASAP7_75t_SRAM,35,102060,2.7097600422201773e-15,0.0,1.2635873250510521e-11,4.615852405159826e-12
INVx6_ASAP7_75t_SRAM,35,116640,3.2394199085336584e-15,0.0,1.2657743776733898e-11,4.324442713643517e-12
INVx8_ASAP7_75t_SRAM,35,145800,4.295440024314591e-15,0.0,1.2873565061188863e-11,3.91210328021252e-12
INVxp33_ASAP7_75t_SRAM,35,43740,2.623960104525849e-16,0.0,1.871212906845443e-11,3.908242826589081e-11
INVxp67_ASAP7_75t_SRAM,35,43740,4.1639700288680017e-16,0.0,1.4784826141145402e-11,2.0635663317003505e-11
MAJIxp5_ASAP7_75t_SRAM,54,102060,1.045600022342929e-15,0.0,3.2496408342019834e-11,3.4987110431039525e-11
MAJx2_ASAP7_75t_SRAM,55,131220,1.0530400421142555e-15,4.58955998206001e-11,3.675120277546462e-11,3.7521107748572646e-11
MAJx3_ASAP7_75t_SRAM,55,145800,1.0534500060607266e-15,5.5804902365785836e-11,4.0907624510033713e-11,4.153322130662218e-11
NAND2x1_ASAP7_75t_SRAM,56,87480,9.256340048694736e-16,0.0,2.4287067149075803e-11,1.8519191388732814e-11
NAND2x1p5_ASAP7_75t_SRAM,56,116640,1.4321299552952729e-15,0.0,2.16204398134634e-11,1.2757136493013466e-11
NAND2x2_ASAP7_75t_SRAM,56,145800,1.9122501467765205e-15,0.0,2.3730656328879718e-11,1.2513248250078934e-11
NAND2xp33_ASAP7_75t_SRAM,56,58320,3.2521401199399314e-16,0.0,2.3987990413476545e-11,4.143767273756538e-11
NAND2xp5_ASAP7_75t_SRAM,56,58320,4.893899612373211e-16,0.0,1.8634652848570354e-11,2.4127529835160644e-11
NAND2xp67_ASAP7_75t_SRAM,56,87480,7.107150116736599e-16,0.0,2.7838117228062842e-11,2.5227639421920856e-11
NAND3x1_ASAP7_75t_SRAM,57,160380,1.2070500078037558e-15,0.0,3.4057919678920356e-11,2.2774190519547766e-11
NAND3x2_ASAP7_75t_SRAM,57,291600,2.467050162722746e-15,0.0,3.433181169909538e-11,1.680363660716555e-11
NAND3xp33_ASAP7_75t_SRAM,57,72900,4.821939928339222e-16,0.0,3.068733461786266e-11,3.698588657563562e-11
NAND4xp25_ASAP7_75t_SRAM,58,87480,4.807969708061038e-16,0.0,4.2993789084455614e-11,5.139004846665962e-11
NAND4xp75_ASAP7_75t_SRAM,58,204120,1.3816800376820963e-15,0.0,4.257996039092049e-11,2.674468632668514e-11
NAND5xp2_ASAP7_75t_SRAM,59,102060,4.764389862924804e-16,0.0,5.4872082572154923e-11,6.565421123427839e-11
NOR2x1_ASAP7_75t_SRAM,60,87480,9.607479674561374e-16,0.0,2.3258742154474987e-11,1.7837379143181842e-11
NOR2x1p5_ASAP7_75t_SRAM,60,116640,1.445410055479681e-15,0.0,2.350261651962171e-11,1.3789364615435229e-11
NOR2x2_ASAP7_75t_SRAM,60,145800,1.9378000485974992e-15,0.0,2.2601835333868614e-11,1.1859929704982619e-11
NOR2xp33_ASAP7_75t_SRAM,60,58320,3.308209995279022e-16,0.0,2.331475117134385e-11,4.086245578016623e-11
NOR2xp67_ASAP7_75t_SRAM,60,87480,7.25524006327862e-16,0.0,2.6535428368501535e-11,2.4378660548607378e-11
NOR3x1_ASAP7_75t_SRAM,61,160380,1.2455900069038264e-15,0.0,3.306061327479348e-11,2.096144438579195e-11
NOR3x2_ASAP7_75t_SRAM,61,291600,2.521180014975269e-15,0.0,3.201846426881261e-11,1.536587697359426e-11
NOR3xp33_ASAP7_75t_SRAM,61,72900,4.863989820214477e-16,0.0,3.8405473246072575e-11,4.599911770930554e-11
NOR4xp25_ASAP7_75t_SRAM,62,87480,4.850910043322095e-16,0.0,5.4628964546443726e-11,6.486822884399501e-11
NOR4xp75_ASAP7_75t_SRAM,62,204120,1.3959500017444895e-15,0.0,5.377136930162507e-11,3.3681210598324185e-11
NOR5xp2_ASAP7_75t_SRAM,63,102060,4.830750129781851e-16,0.0,7.080320357788494e-11,8.378732430092128e-11
O2A1O1Ixp33_ASAP7_75t_SRAM,64,87480,5.131190069194991e-16,0.0,4.0049064758962416e-11,4.735036668312986e-11
O2A1O1Ixp5_ASAP7_75t_SRAM,65,116640,8.196790240743476e-16,0.0,4.047884596958262e-11,3.3775243019062984e-11
OA211x2_ASAP7_75t_SRAM,66,116640,4.823500057148946e-16,4.404909770272525e-11,4.509359899373955e-11,4.7469587288739845e-11
OA21x2_ASAP7_75t_SRAM,67,102060,5.4512001754588495e-16,4.462490099665928e-11,3.089191749627851e-11,3.213260560408493e-11
OA221x2_ASAP7_75t_SRAM,68,233280,8.621880078070151e-16,3.98456996564267e-11,4.836495787197137e-11,4.630889768875157e-11
OA222x2_ASAP7_75t_SRAM,69,174960,5.497540289211948e-16,4.544839851683413e-11,4.635592257273835e-11,4.7411408132802535e-11
OA22x2_ASAP7_75t_SRAM,70,145800,5.457780033272239e-16,4.534820088886171e-11,3.3319812187126985e-11,3.474547385917681e-11
OA31x2_ASAP7_75t_SRAM,71,218700,1.0091099488543321e-15,6.017229770005628e-11,3.998370037838761e-11,3.767270523313826e-11
OA331x1_ASAP7_75t_SRAM,72,145800,5.654349910550361e-16,2.135779920975356e-11,5.20712466201001e-11,5.499693755961488e-11
OA331x2_ASAP7_75t_SRAM,72,160380,5.644800143465661e-16,3.126710002021582e-11,5.434881711341433e-11,5.640273317841782e-11
OA332x1_ASAP7_75t_SRAM,73,160380,5.511320456472592e-16,3.633280135084682e-11,5.6256371089302704e-11,5.927193458266089e-11
OA332x2_ASAP7_75t_SRAM,73,174960,5.5138303209744245e-16,4.624219757110026e-11,5.790177018405451e-11,6.004423347416576e-11
OA333x1_ASAP7_75t_SRAM,74,174960,5.515459800606705e-16,4.551060223123571e-11,6.298878085786441e-11,6.475884412049382e-11
OA333x2_ASAP7_75t_SRAM,74,189540,5.515459800606705e-16,5.541999845148915e-11,6.360369175784086e-11,6.487765880081042e-11
OA33x2_ASAP7_75t_SRAM,75,145800,5.456849885217036e-16,5.5269799154045174e-11,5.229603208811717e-11,5.4680072969492954e-11
OAI211xp5_ASAP7_75t_SRAM,76,87480,4.821209891817807e-16,0.0,3.55557180919952e-11,4.564418634722678e-11
OAI21x1_ASAP7_75t_SRAM,77,116640,1.1705600401942773e-15,0.0,2.6569069860871153e-11,1.877433104813253e-11
OAI21xp33_ASAP7_75t_SRAM,77,72900,3.9673699760411343e-16,0.0,2.8273879765228216e-11,4.253311244872826e-11
OAI21xp5_ASAP7_75t_SRAM,77,72900,5.443050130319487e-16,0.0,2.5870474165690105e-11,3.018386582342991e-11
OAI221xp5_ASAP7_75t_SRAM,78,102060,4.796859812166614e-16,0.0,3.9082577452109746e-11,4.978700091085031e-11
OAI222xp33_ASAP7_75t_SRAM,79,145800,5.509280165860893e-16,0.0,4.247582147121065e-11,4.5638975237904944e-11
OAI22x1_ASAP7_75t_SRAM,80,145800,1.1281199837676927e-15,0.0,2.747645687362077e-11,2.0733928463023688e-11
OAI22xp33_ASAP7_75t_SRAM,80,87480,4.1977099981351006e-16,0.0,3.1369237069034384e-11,4.440572215491656e-11
OAI22xp5_ASAP7_75t_SRAM,80,87480,5.442349739951226e-16,0.0,2.749757539721731e-11,3.1993081794912115e-11
OAI311xp33_ASAP7_75t_SRAM,81,102060,5.144030029884182e-16,0.0,4.377874104899426e-11,4.9817910213745265e-11
OAI31xp33_ASAP7_75t_SRAM,82,87480,4.643020100099512e-16,0.0,3.597131273402887e-11,4.48403536523756e-11
OAI31xp67_ASAP7_75t_SRAM,82,189540,1.0330599113170659e-15,0.0,4.050106083841598e-11,2.86929681403425e-11
OAI321xp33_ASAP7_75t_SRAM,83,116640,5.014750038122718e-16,0.0,4.546142975958567e-11,5.221999915816511e-11
OAI322xp33_ASAP7_75t_SRAM,84,131220,5.063719659781449e-16,0.0,4.8420639026103274e-11,5.4942321525697224e-11
OAI32xp33_ASAP7_75t_SRAM,85,102060,4.475130229019829e-16,0.0,3.808347734390871e-11,4.79056690150248e-11
OAI331xp33_ASAP7_75t_SRAM,86,131220,5.647220010716848e-16,0.0,4.778043932729403e-11,5.460382840327682e-11
OAI332xp33_ASAP7_75t_SRAM,87,145800,5.499479994661161e-16,0.0,5.048095969018007e-11,5.724025767261942e-11
OAI333xp33_ASAP7_75t_SRAM,88,160380,5.498899777092291e-16,0.0,5.6782363533347535e-11,6.080486114612427e-11
OAI33xp33_ASAP7_75t_SRAM,89,116640,4.721339942776197e-16,0.0,3.643847029666247e-11,4.9234828020106036e-11
OR2x2_ASAP7_75t_SRAM,90,87480,4.894409949723932e-16,3.805580156557298e-11,2.957463440811381e-11,3.1338230621624774e-11
OR2x4_ASAP7_75t_SRAM,90,116640,4.884189967819716e-16,5.787450033101216e-11,3.868794173911283e-11,3.972062956325573e-11
OR2x6_ASAP7_75t_SRAM,90,174960,9.537340052572798e-16,9.593029842713818e-11,3.2473589789416835e-11,3.0815509866055635e-11
OR3x1_ASAP7_75t_SRAM,91,87480,5.516369831629411e-16,5.336790037668848e-11,4.319540558572754e-11,4.463175662383634e-11
OR3x2_ASAP7_75t_SRAM,91,102060,5.515929903892431e-16,6.327740414979743e-11,4.6749631943399095e-11,4.774632425541547e-11
OR3x4_ASAP7_75t_SRAM,91,131220,5.515669970656742e-16,8.309639781822753e-11,6.039813094105284e-11,6.10047012905568e-11
OR4x1_ASAP7_75t_SRAM,92,102060,5.544450562017667e-16,6.406310204543075e-11,5.580373663160998e-11,5.7373508721703104e-11
OR4x2_ASAP7_75t_SRAM,92,116640,5.546440030652531e-16,7.397270296305436e-11,6.076043140845755e-11,6.186910012084823e-11
OR5x1_ASAP7_75t_SRAM,93,116640,4.849290092810471e-16,5.739759709189052e-11,6.650067996272213e-11,6.998338020203221e-11
OR5x2_ASAP7_75t_SRAM,93,131220,4.855640192936918e-16,6.730719454006717e-11,7.322568246204142e-11,7.576365229633453e-11
SDFHx1_ASAP7_75t_SRAM,94,364500,1.0145099956513151e-15,7.657939560257176e-11,6.997510210160485e-11,7.498227039270944e-11
SDFHx2_ASAP7_75t_SRAM,94,379080,1.0140800205514651e-15,8.648889937568072e-11,7.699510473635485e-11,8.08718300659983e-11
SDFHx3_ASAP7_75t_SRAM,94,393660,1.0137099730326334e-15,9.639829906538111e-11,8.968595310854255e-11,9.288917551808495e-11
SDFHx4_ASAP7_75t_SRAM,94,451980,1.122840003890983e-15,1.6533199809209975e-10,5.955666515511382e-11,5.986801332458214e-11
SDFLx1_ASAP7_75t_SRAM,95,364500,1.2743500577157806e-15,7.057319312275823e-11,7.808208940529582e-11,8.356605685211349e-11
SDFLx2_ASAP7_75t_SRAM,95,379080,1.2814000188148965e-15,8.048259975135252e-11,8.45216882594535e-11,8.857594518962841e-11
SDFLx3_ASAP7_75t_SRAM,95,393660,1.2809200687711585e-15,9.039199944105292e-11,9.52586759472851e-11,9.86881409925644e-11
SDFLx4_ASAP7_75t_SRAM,95,451980,1.122460003735021e-15,1.3533900389273157e-10,6.470902980115767e-11,6.501727628505094e-11
TAPCELL_ASAP7_75t_SRAM,96,29160,NaN,NaN,NaN,NaN
TAPCELL_WITH_FILLER_ASAP7_75t_SRAM,97,43740,NaN,NaN,NaN,NaN
TIEHIx1_ASAP7_75t_SRAM,98,43740,None,6.80607967987884e-13,None,None
TIELOx1_ASAP7_75t_SRAM,99,43740,None,1.3115899425569788e-12,None,None
XNOR2x1_ASAP7_75t_SRAM,100,174960,1.4119900529084074e-15,0.0,4.01570061925316e-11,2.8766935014634676e-11
